#Aperture(m), Duration(hours), a, b
0.15, 8.5, 0.0006545252145625646, 0.4599065348387765
0.15, 8.6, 0.0006510112637903439, 0.4599087307907615
0.15, 8.7, 0.0006475902787866073, 0.45990735355218315
0.15, 8.8, 0.0006441605659826216, 0.45991195774263105
0.15, 8.9, 0.0006408101167087481, 0.45991402533055403
0.15, 9.0, 0.000637540811138644, 0.45991320227376914
0.15, 9.1, 0.0006342638026688144, 0.4599179671132634
0.15, 9.2, 0.0006310719468857146, 0.45991919890065414
0.15, 9.3, 0.0006279461799957881, 0.45991859823608167
0.15, 9.4, 0.000621982617067428, 0.45990240774136426
0.15, 9.5, 0.0006189623067253438, 0.4599046834315074
0.15, 9.6, 0.0006160174657503106, 0.45990371765020793
0.15, 9.7, 0.0006130551084540201, 0.459908728065959
0.15, 9.8, 0.0006101768904236737, 0.4599094123101585
0.15, 9.9, 0.0006073432412573229, 0.4599096369748726
0.15, 10.0, 0.0006045165319562835, 0.45991314212252327
0.15, 10.1, 0.0006017428869690786, 0.4599151526415301
0.15, 10.2, 0.0005990079345000087, 0.4599170361770782
0.15, 10.3, 0.000596313333789268, 0.4599185355819857
0.15, 10.4, 0.000593647272690187, 0.45992078893280264
0.15, 10.5, 0.0005886124141889501, 0.4599050426091791
0.15, 10.6, 0.0005860605100250516, 0.4599060227920272
0.15, 10.7, 0.0005835340793961722, 0.45990777364651825
0.15, 10.8, 0.0005810403233494203, 0.45990946302656666
0.15, 10.9, 0.0005785773330297378, 0.4599112253700884
0.15, 11.0, 0.0005761689288941517, 0.45991043613407223
0.15, 11.1, 0.0005737429834243856, 0.4599147576564159
0.15, 11.2, 0.0005713799737150741, 0.45991549019298583
0.15, 11.3, 0.0005690502030827569, 0.45991574718061873
0.15, 11.4, 0.0005667253634963818, 0.45991854045280023
0.15, 11.5, 0.000564439890794697, 0.45992007591204914
0.15, 11.6, 0.0005601336670343072, 0.4599028823731502
0.15, 11.7, 0.0005579116738979597, 0.45990616792845873
0.15, 11.8, 0.0005557292277459939, 0.45990792456077106
0.15, 11.9, 0.0005535954052795088, 0.45990706412909393
0.15, 12.0, 0.0005514431465479486, 0.45991101260695927
0.15, 12.1, 0.0005493426839972037, 0.4599118785939585
0.15, 12.2, 0.0005472724186794632, 0.459912012562773
0.15, 12.3, 0.0005452032586623287, 0.45991464861119535
0.15, 12.4, 0.0005431663777492129, 0.4599162256681957
0.15, 12.5, 0.000541170970262818, 0.4599156323058957
0.15, 12.6, 0.0005391624973487164, 0.45991904352834406
0.15, 12.7, 0.00053539184418069, 0.4599049280785916
0.15, 12.8, 0.0005334763772432002, 0.4599049213014139
0.15, 12.9, 0.0005315546912326396, 0.45990800738833276
0.15, 13.0, 0.0005296711980498589, 0.4599090010703693
0.15, 13.1, 0.0005278195858025069, 0.4599085774047951
0.15, 13.2, 0.0005259545425581529, 0.4599119998062798
0.15, 13.3, 0.0005241229281526149, 0.4599137497345781
0.15, 13.4, 0.0005223236649092511, 0.4599138978060199
0.15, 13.5, 0.0005205228028066069, 0.45991641525087146
0.15, 13.6, 0.000518749242768164, 0.459917852070935
0.15, 13.7, 0.0005170131215791583, 0.4599169476972402
0.15, 13.8, 0.000513664468726725, 0.45990651423693335
0.15, 13.9, 0.0005119664621245276, 0.4599071827536494
0.15, 14.0, 0.0005102895714796626, 0.45990731196568835
0.15, 14.1, 0.0005086076192812567, 0.4599100405003133
0.15, 14.2, 0.0005069545521373081, 0.45991122866469636
0.15, 14.3, 0.0005053300678509183, 0.4599108655079609
0.15, 14.4, 0.0005036939507648445, 0.4599138346368185
0.15, 14.5, 0.0005020908994061604, 0.4599146419021986
0.15, 14.6, 0.0005005159984070342, 0.45991384179852485
0.15, 14.7, 0.0004989240736245502, 0.4599169813359725
0.15, 14.8, 0.0004973647790235096, 0.459917904910192
0.15, 14.9, 0.0004944081049466065, 0.459904896475691
0.15, 15.0, 0.0004928778673147558, 0.4599074766447902
0.15, 15.1, 0.0004913734388992725, 0.45990855732074837
0.15, 15.2, 0.0004898952154808985, 0.4599080474989144
0.15, 15.3, 0.000488404154064128, 0.4599108430080021
0.15, 15.4, 0.00048695000707339736, 0.45991064080910077
0.15, 15.5, 0.0004854992653347297, 0.4599116497284534
0.15, 15.6, 0.0004840497963137827, 0.4599141281493188
0.15, 15.7, 0.0004826316319464592, 0.45991422410903054
0.15, 15.8, 0.00048122283632927017, 0.459914706350359
0.15, 15.9, 0.00047980706271986447, 0.45991765942980645
0.15, 16.0, 0.00047715473714347894, 0.45990505563382333
0.15, 16.1, 0.00047578797678352817, 0.45990626079687624
0.15, 16.2, 0.00047442580550065587, 0.4599083738645319
0.15, 16.3, 0.00047308413697849693, 0.459909306948436
0.15, 16.4, 0.0004717543734496389, 0.45991015227800897
0.15, 16.5, 0.0004704227409750209, 0.45991269633104837
0.15, 16.6, 0.0004691239633173162, 0.45991236419942666
0.15, 16.7, 0.000467827264879535, 0.4599131730217549
0.15, 16.8, 0.00046652985511584383, 0.4599154821927013
0.15, 16.9, 0.00046526178208747244, 0.4599152975503341
0.15, 17.0, 0.0004639846420884409, 0.459917690018428
0.15, 17.1, 0.0004615718200077654, 0.45990764038973103
0.15, 17.2, 0.00046034697314342423, 0.4599070543570233
0.15, 17.3, 0.00045910768052308037, 0.4599097218783493
0.15, 17.4, 0.0004578950587872095, 0.45991010689751444
0.15, 17.5, 0.0004566967374345404, 0.4599098471099935
